amount,log_amount,amount_vs_user_avg,is_high_amount,is_very_high_amount,is_extreme_amount,transactions_last_1h,transactions_last_24h,is_velocity_spike_1h,is_velocity_spike_24h,velocity_ratio,distance_from_home_km,is_international,distance_risk,international_far,hour_of_day,day_of_week,is_late_night,is_business_hours,is_weekend,card_present,merchant_risk_score,is_high_risk_merchant,online_international,failed_attempts,has_failed_attempts,many_failed_attempts,device_match,unknown_device,manual_risk_score,is_fraud
241.62,5.491496433342773,0.816,0,0,0,1,1,0,0,24.0,17.89,0,1,0,4,1,1,0,0,1,1,0,0,0,0,0,1,0,0.129,0
302.88,5.716632886635021,0.621,0,0,0,1,1,0,0,24.0,18.57,0,1,0,4,1,1,0,0,1,1,0,0,0,0,0,1,0,0.129,0
630.89,6.448715328365377,1.415,1,0,0,1,1,0,0,24.0,9.92,0,0,0,5,1,1,0,0,1,1,0,0,0,0,0,0,1,0.2258,0
346.39,5.850448068130755,1.403,0,0,0,1,1,0,0,24.0,16.99,0,1,0,5,1,1,0,0,1,2,0,0,0,0,0,1,0,0.129,0
400.13,5.9942855642946835,1.349,1,0,0,1,1,0,0,24.0,2.64,0,0,0,5,1,1,0,0,1,1,0,0,0,0,0,1,0,0.129,0
53.87,4.004966751070884,1.25,0,0,0,1,1,0,0,24.0,27.45,0,1,0,5,1,1,0,0,1,1,0,0,0,0,0,0,1,0.2258,0
353.09,5.869551118109087,0.803,0,0,0,1,1,0,0,24.0,36.39,0,1,0,6,1,0,0,0,1,2,0,0,0,0,0,1,0,0.0,0
52.8,3.9852734671677386,1.864,0,0,0,1,1,0,0,24.0,37.45,0,1,0,6,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
71.04,4.277221520307755,0.146,0,0,0,1,1,0,0,24.0,25.7,0,1,0,6,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
47.47,3.8809450498572846,0.557,0,0,0,1,1,0,0,24.0,34.07,0,1,0,6,1,0,0,0,1,2,0,0,1,1,0,1,0,0.0,0
231.88,5.450523299437368,0.748,0,0,0,1,1,0,0,24.0,32.97,0,1,0,6,1,0,0,0,1,1,0,0,0,0,0,0,1,0.0968,0
669.62,6.508202657625575,2.253,1,0,0,1,1,0,0,24.0,11.34,0,1,0,7,1,0,0,0,1,1,0,0,0,0,0,0,1,0.0968,0
130.1,4.875960390769654,0.411,0,0,0,1,1,0,0,24.0,11.94,0,1,0,7,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
427.99,6.061433608633024,1.722,1,0,0,1,1,0,0,24.0,24.91,0,1,0,7,1,0,0,0,0,2,0,0,0,0,0,1,0,0.0,0
146.32,4.992607091576865,1.503,0,0,0,1,1,0,0,24.0,29.17,0,1,0,7,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0
35.38,3.5940191730899764,1.732,0,0,0,1,1,0,0,24.0,17.53,0,1,0,7,1,0,0,0,1,2,0,0,0,0,0,1,0,0.0,0
58.29,4.0824406577192764,1.639,0,0,0,1,1,0,0,24.0,29.43,0,1,0,8,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0
60.63,4.121148764974151,1.39,0,0,0,1,1,0,0,24.0,38.62,0,1,0,8,1,0,0,0,1,1,0,0,0,0,0,0,1,0.0968,0
446.13,6.102849380071872,1.141,1,0,0,1,1,0,0,24.0,16.6,0,1,0,8,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
184.47,5.222893143901196,0.586,0,0,0,1,1,0,0,24.0,30.92,0,1,0,8,1,0,0,0,0,2,0,0,0,0,0,0,1,0.0968,0
646.54,6.473180567727407,1.753,1,0,0,1,1,0,0,24.0,17.75,0,1,0,9,1,0,1,0,1,1,0,0,0,0,0,1,0,0.0,0
140.03,4.948972633704149,0.511,0,0,0,1,1,0,0,24.0,18.39,0,1,0,9,1,0,1,0,0,1,0,0,0,0,0,1,0,0.0,0
427.44,6.0601507048964285,1.679,1,0,0,1,1,0,0,24.0,32.91,0,1,0,9,1,0,1,0,0,1,0,0,0,0,0,0,1,0.0968,0
75.93,4.342895917470844,0.769,0,0,0,1,1,0,0,24.0,19.01,0,1,0,9,1,0,1,0,1,2,0,0,0,0,0,1,0,0.0,0
122.46,4.81591721696575,0.25,0,0,0,1,1,0,0,24.0,28.92,0,1,0,9,1,0,1,0,1,2,0,0,0,0,0,1,0,0.0,0
104.39,4.657667754945845,0.919,0,0,0,1,1,0,0,24.0,35.14,0,1,0,10,1,0,1,0,1,1,0,0,0,0,0,1,0,0.0,0
389.32,5.966966915507582,1.824,0,0,0,1,1,0,0,24.0,13.1,0,1,0,10,1,0,1,0,1,2,0,0,0,0,0,1,0,0.0,0
466.86,6.148169105865621,1.33,1,0,0,1,1,0,0,24.0,23.4,0,1,0,10,1,0,1,0,1,1,0,0,0,0,0,1,0,0.0,0
139.04,4.941928096086465,0.811,0,0,0,1,1,0,0,24.0,13.87,0,1,0,10,1,0,1,0,1,1,0,0,1,1,0,1,0,0.0,0
262.5,5.574053367981417,0.747,0,0,0,1,1,0,0,24.0,18.21,0,1,0,10,1,0,1,0,1,1,0,0,0,0,0,0,1,0.0968,0
225.65,5.4234069773868585,1.242,0,0,0,1,1,0,0,24.0,19.12,0,1,0,11,1,0,1,0,1,1,0,0,0,0,0,1,0,0.0,0
721.42,6.582606687212341,1.503,1,1,0,1,1,0,0,24.0,26.98,0,1,0,11,1,0,1,0,0,1,0,0,0,0,0,1,0,0.0,0
241.08,5.489268250040046,1.085,0,0,0,1,1,0,0,24.0,25.28,0,1,0,11,1,0,1,0,1,1,0,0,0,0,0,1,0,0.0,0
708.91,6.565138201437182,2.237,1,1,0,1,2,0,0,12.0,8.89,0,0,0,11,1,0,1,0,0,1,0,0,0,0,0,1,0,0.0,0
103.47,4.648899948849417,0.604,0,0,0,1,1,0,0,24.0,26.09,0,1,0,11,1,0,1,0,1,2,0,0,1,1,0,1,0,0.0,0
57.34,4.066287964439575,0.209,0,0,0,1,1,0,0,24.0,8.73,0,0,0,12,1,0,1,0,1,1,0,0,0,0,0,1,0,0.0,0
412.85,6.025503589331405,1.259,1,0,0,1,1,0,0,24.0,21.26,0,1,0,12,1,0,1,0,0,1,0,0,0,0,0,1,0,0.0,0
160.4,5.083885755835849,2.042,0,0,0,1,1,0,0,24.0,22.69,0,1,0,12,1,0,1,0,1,2,0,0,0,0,0,1,0,0.0,0
230.17,5.443153370593485,0.91,0,0,0,1,1,0,0,24.0,39.51,0,1,0,12,1,0,1,0,1,1,0,0,0,0,0,1,0,0.0,0
333.51,5.812666774487644,1.637,0,0,0,1,1,0,0,24.0,7.78,0,0,0,13,1,0,1,0,1,1,0,0,0,0,0,1,0,0.0,0
109.35,4.703657132702745,1.573,0,0,0,1,1,0,0,24.0,33.72,0,1,0,13,1,0,1,0,1,2,0,0,1,1,0,1,0,0.0,0
441.87,6.093276273254561,0.9,1,0,0,1,1,0,0,24.0,30.35,0,1,0,13,1,0,1,0,1,1,0,0,0,0,0,1,0,0.0,0
329.8,5.801513963149536,1.184,0,0,0,1,1,0,0,24.0,17.05,0,1,0,13,1,0,1,0,1,1,0,0,0,0,0,1,0,0.0,0
29.77,3.4265401893339504,1.182,0,0,0,1,1,0,0,24.0,30.25,0,1,0,13,1,0,1,0,1,1,0,0,0,0,0,1,0,0.0,0
14.99,2.771963526845863,0.124,0,0,0,1,1,0,0,24.0,17.07,0,1,0,14,1,0,1,0,0,1,0,0,0,0,0,1,0,0.0,0
67.94,4.233236561088719,0.586,0,0,0,1,1,0,0,24.0,33.92,0,1,0,14,1,0,1,0,1,1,0,0,0,0,0,1,0,0.0,0
144.03,4.976940617572159,0.617,0,0,0,1,1,0,0,24.0,31.12,0,1,0,14,1,0,1,0,1,2,0,0,0,0,0,1,0,0.0,0
110.28,4.712049547615187,0.787,0,0,0,1,1,0,0,24.0,25.03,0,1,0,14,1,0,1,0,0,1,0,0,0,0,0,1,0,0.0,0
7.41,2.1294214739848565,0.088,0,0,0,1,1,0,0,24.0,37.41,0,1,0,15,1,0,1,0,1,1,0,0,0,0,0,1,0,0.0,0
650.66,6.47952295352,1.325,1,0,0,1,2,0,0,12.0,24.22,0,1,0,15,1,0,1,0,0,2,0,0,0,0,0,1,0,0.0,0
391.92,5.973606028806669,1.259,0,0,0,1,1,0,0,24.0,24.87,0,1,0,15,1,0,1,0,1,1,0,0,0,0,0,1,0,0.0,0
262.89,5.575532349649974,0.625,0,0,0,1,1,0,0,24.0,15.41,0,1,0,15,1,0,1,0,0,1,0,0,0,0,0,1,0,0.0,0
310.43,5.7411745938732635,0.866,0,0,0,1,1,0,0,24.0,26.59,0,1,0,15,1,0,1,0,0,1,0,0,0,0,0,1,0,0.0,0
400.54,5.995307154825432,1.195,1,0,0,1,1,0,0,24.0,29.98,0,1,0,16,1,0,1,0,1,1,0,0,0,0,0,0,1,0.0968,0
233.92,5.459245030654318,1.13,0,0,0,1,1,0,0,24.0,31.55,0,1,0,16,1,0,1,0,1,1,0,0,0,0,0,1,0,0.0,0
213.93,5.370312393719185,1.202,0,0,0,1,1,0,0,24.0,18.56,0,1,0,16,1,0,1,0,1,1,0,0,0,0,0,1,0,0.0,0
455.38,6.123325795818278,1.042,1,0,0,1,1,0,0,24.0,26.28,0,1,0,16,1,0,1,0,1,1,0,0,0,0,0,1,0,0.0,0
5.91,1.9329696377795786,0.163,0,0,0,1,1,0,0,24.0,26.76,0,1,0,17,1,0,1,0,1,1,0,0,0,0,0,1,0,0.0,0
425.96,6.056690332025689,0.913,1,0,0,1,1,0,0,24.0,22.44,0,1,0,17,1,0,1,0,1,1,0,0,0,0,0,1,0,0.0,0
31.36,3.4769230921902907,0.501,0,0,0,1,2,0,0,12.0,39.08,0,1,0,17,1,0,1,0,1,1,0,0,1,1,0,1,0,0.0,0
241.55,5.491207874691225,0.858,0,0,0,1,1,0,0,24.0,34.93,0,1,0,17,1,0,1,0,0,2,0,0,1,1,0,0,1,0.0968,0
26.58,3.3170908723651555,0.729,0,0,0,1,1,0,0,24.0,28.2,0,1,0,17,1,0,1,0,1,1,0,0,0,0,0,1,0,0.0,0
99.29,4.608065989100117,1.683,0,0,0,1,2,0,0,12.0,39.07,0,1,0,18,1,0,0,0,0,2,0,0,0,0,0,1,0,0.0,0
73.66,4.3129444734864375,0.311,0,0,0,1,1,0,0,24.0,38.17,0,1,0,18,1,0,0,0,1,2,0,0,0,0,0,1,0,0.0,0
192.12,5.263311757349221,1.101,0,0,0,1,1,0,0,24.0,28.12,0,1,0,18,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
97.48,4.589853481876198,0.958,0,0,0,1,1,0,0,24.0,13.05,0,1,0,18,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0
220.38,5.399880681957478,0.78,0,0,0,1,1,0,0,24.0,7.43,0,0,0,18,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
95.27,4.567156743789875,0.405,0,0,0,1,1,0,0,24.0,24.74,0,1,0,19,1,0,0,0,1,1,0,0,0,0,0,0,1,0.0968,0
519.09,6.254001873522467,1.811,1,0,0,1,1,0,0,24.0,20.6,0,1,0,19,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0
142.18,4.964102579968039,0.688,0,0,0,1,1,0,0,24.0,25.65,0,1,0,19,1,0,0,0,1,1,0,0,0,0,0,0,1,0.0968,0
272.09,5.609801411185307,1.398,0,0,0,1,1,0,0,24.0,14.38,0,1,0,19,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
13.25,2.6567569067146595,0.125,0,0,0,1,1,0,0,24.0,24.05,0,1,0,19,1,0,0,0,1,2,0,0,0,0,0,1,0,0.0,0
281.2,5.642616039418714,1.325,0,0,0,1,1,0,0,24.0,31.8,0,1,0,20,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
509.87,6.236115154706623,1.636,1,0,0,1,1,0,0,24.0,20.72,0,1,0,20,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
68.12,4.2358441244958005,0.145,0,0,0,1,1,0,0,24.0,4.92,0,0,0,20,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
157.08,5.063101233999558,1.383,0,0,0,1,1,0,0,24.0,31.44,0,1,0,20,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
264.68,5.5822925770684915,1.018,0,0,0,1,1,0,0,24.0,8.43,0,0,0,21,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
451.45,6.114677259797142,1.555,1,0,0,1,1,0,0,24.0,8.82,0,0,0,21,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0
218.91,5.393218371742757,1.096,0,0,0,1,1,0,0,24.0,16.4,0,1,0,21,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
468.42,6.151497890093395,0.967,1,0,0,1,1,0,0,24.0,35.23,0,1,0,21,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
345.42,5.847651911742134,0.911,0,0,0,1,1,0,0,24.0,33.04,0,1,0,21,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
108.63,4.697111059686448,0.455,0,0,0,1,1,0,0,24.0,34.86,0,1,0,22,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
56.83,4.057507672170127,1.558,0,0,0,1,2,0,0,12.0,32.71,0,1,0,22,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0
173.19,5.160146657489371,1.306,0,0,0,1,1,0,0,24.0,17.64,0,1,0,22,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
2578.16,7.8552190435071845,11.589,1,1,1,3,3,0,0,24.0,18.15,0,1,0,22,1,0,0,0,1,4,1,0,2,1,0,0,1,0.3548,1
469.49,6.153774704814443,1.052,1,0,0,1,1,0,0,24.0,15.29,0,1,0,23,1,0,0,0,1,2,0,0,0,0,0,1,0,0.0,0
27.78,3.359680701459222,0.64,0,0,0,1,1,0,0,24.0,31.44,0,1,0,23,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0
515.35,6.246784830117413,1.266,1,0,0,1,1,0,0,24.0,11.92,0,1,0,23,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
426.46,6.057860716747665,1.16,1,0,0,1,1,0,0,24.0,31.88,0,1,0,23,1,0,0,0,1,2,0,0,0,0,0,1,0,0.0,0
164.55,5.109273263993256,0.493,0,0,0,1,1,0,0,24.0,20.92,0,1,0,23,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
552.61,6.316460467724131,1.153,1,0,0,1,1,0,0,24.0,18.95,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
177.41,5.184084272386612,0.535,0,0,0,1,1,0,0,24.0,26.04,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0.0,0
578.26,6.361751426866534,1.377,1,0,0,1,1,0,0,24.0,37.46,0,1,0,0,2,0,0,0,1,2,0,0,0,0,0,1,0,0.0,0
47.51,3.8817699622571253,0.142,0,0,0,1,1,0,0,24.0,24.33,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0
157.53,5.065943849855136,0.331,0,0,0,1,2,0,0,12.0,23.59,0,1,0,1,2,0,0,0,1,2,0,0,0,0,0,1,0,0.0,0
51.43,3.9594789465844413,0.744,0,0,0,1,1,0,0,24.0,7.55,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
484.78,6.185755846515162,1.244,1,0,0,1,1,0,0,24.0,22.04,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
301.19,5.711055958622699,1.447,0,0,0,1,1,0,0,24.0,39.11,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
360.06,5.889044149508512,1.112,0,0,0,1,1,0,0,24.0,27.56,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
231.2,5.4475990692637914,0.783,0,0,0,1,1,0,0,24.0,39.82,0,1,0,2,2,1,0,0,0,2,0,0,0,0,0,1,0,0.129,0
237.79,5.475584504594719,5.23,0,0,0,3,2,0,0,36.0,45.32,0,1,0,2,2,1,0,0,0,4,1,0,3,1,1,0,1,0.4839,1
326.57,5.7917017726940845,1.399,0,0,0,1,1,0,0,24.0,17.37,0,1,0,2,2,1,0,0,1,1,0,0,0,0,0,1,0,0.129,0
278.93,5.634539571914041,1.33,0,0,0,1,1,0,0,24.0,12.92,0,1,0,2,2,1,0,0,1,1,0,0,1,1,0,0,1,0.2258,0
376.84,5.934470825587861,1.178,0,0,0,1,1,0,0,24.0,7.85,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0.129,0
92.11,4.533781589900438,1.563,0,0,0,1,1,0,0,24.0,20.32,0,1,0,2,2,1,0,0,1,2,0,0,0,0,0,1,0,0.129,0
269.51,5.600309066179925,1.302,0,0,0,1,1,0,0,24.0,34.37,0,1,0,3,2,1,0,0,0,1,0,0,0,0,0,1,0,0.129,0
788.44,6.671323833340992,1.608,1,1,0,1,1,0,0,24.0,17.48,0,1,0,3,2,1,0,0,1,1,0,0,0,0,0,1,0,0.129,0
9.77,2.3767644911682972,0.192,0,0,0,1,1,0,0,24.0,14.33,0,1,0,3,2,1,0,0,0,1,0,0,1,1,0,1,0,0.129,0
139.49,4.9451363118635605,0.931,0,0,0,1,1,0,0,24.0,12.08,0,1,0,3,2,1,0,0,0,1,0,0,0,0,0,1,0,0.129,0
310.73,5.742137428532665,1.312,0,0,0,1,2,0,0,12.0,19.73,0,1,0,3,2,1,0,0,1,1,0,0,0,0,0,1,0,0.129,0
147.97,5.003744943391502,0.849,0,0,0,1,1,0,0,24.0,26.9,0,1,0,4,2,1,0,0,1,2,0,0,0,0,0,1,0,0.129,0
227.15,5.430003307373411,1.17,0,0,0,1,1,0,0,24.0,24.81,0,1,0,4,2,1,0,0,1,1,0,0,0,0,0,1,0,0.129,0
504.26,6.2250731482699555,1.638,1,0,0,1,1,0,0,24.0,13.43,0,1,0,4,2,1,0,0,1,1,0,0,0,0,0,1,0,0.129,0
74.79,4.327966357823938,0.457,0,0,0,1,1,0,0,24.0,9.73,0,0,0,4,2,1,0,0,1,1,0,0,1,1,0,1,0,0.129,0
32.77,3.5195728343974766,0.149,0,0,0,1,1,0,0,24.0,40.35,0,1,0,5,2,1,0,0,1,1,0,0,0,0,0,0,1,0.2258,0
231.56,5.449148256250621,1.159,0,0,0,1,2,0,0,12.0,28.01,0,1,0,5,2,1,0,0,1,2,0,0,0,0,0,1,0,0.129,0
71.21,4.27957854046309,0.452,0,0,0,1,1,0,0,24.0,18.64,0,1,0,5,2,1,0,0,1,1,0,0,0,0,0,1,0,0.129,0
280.31,5.639457264099644,1.001,0,0,0,1,1,0,0,24.0,13.63,0,1,0,5,2,1,0,0,0,1,0,0,0,0,0,1,0,0.129,0
146.24,4.99206390851082,1.178,0,0,0,1,1,0,0,24.0,34.32,0,1,0,5,2,1,0,0,0,1,0,0,0,0,0,1,0,0.129,0
643.46,6.468412756838011,1.746,1,0,0,1,1,0,0,24.0,19.2,0,1,0,6,2,0,0,0,1,1,0,0,1,1,0,1,0,0.0,0
365.74,5.904653150121018,0.789,0,0,0,1,1,0,0,24.0,12.66,0,1,0,6,2,0,0,0,1,2,0,0,0,0,0,1,0,0.0,0
93.87,4.5525075334047855,0.194,0,0,0,1,1,0,0,24.0,26.48,0,1,0,6,2,0,0,0,1,2,0,0,0,0,0,1,0,0.0,0
169.33,5.137737731872486,0.432,0,0,0,1,1,0,0,24.0,31.33,0,1,0,6,2,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
352.74,5.868562180006648,0.714,0,0,0,1,1,0,0,24.0,19.96,0,1,0,7,2,0,0,0,1,2,0,0,1,1,0,1,0,0.0,0
523.02,6.261529851531596,1.879,1,0,0,1,1,0,0,24.0,15.28,0,1,0,7,2,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
201.27,5.309603438565004,1.164,0,0,0,1,1,0,0,24.0,8.6,0,0,0,7,2,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
168.49,5.1327939280299635,0.37,0,0,0,1,1,0,0,24.0,34.78,0,1,0,7,2,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
89.77,4.508328834538536,1.0,0,0,0,1,1,0,0,24.0,22.77,0,1,0,7,2,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
417.13,6.035792388957482,1.289,1,0,0,1,1,0,0,24.0,27.59,0,1,0,8,2,0,0,0,1,1,0,0,0,0,0,0,1,0.0968,0
214.9,5.3748153375207615,1.183,0,0,0,1,2,0,0,12.0,33.37,0,1,0,8,2,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0
25.77,3.2872818575322613,1.072,0,0,0,1,1,0,0,24.0,32.42,0,1,0,8,2,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
32.1,3.4995332823830174,0.347,0,0,0,1,1,0,0,24.0,29.89,0,1,0,8,2,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0
22.91,3.1742967814702334,0.953,0,0,0,2,2,0,0,24.0,16.47,0,1,0,8,2,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0
367.69,5.909956182550611,1.214,0,0,0,1,1,0,0,24.0,11.75,0,1,0,9,2,0,1,0,0,2,0,0,0,0,0,1,0,0.0,0
280.75,5.641020152919886,0.573,0,0,0,1,1,0,0,24.0,32.5,0,1,0,9,2,0,1,0,1,1,0,0,1,1,0,1,0,0.0,0
